v0;v2;ti/tmin;
0.00273431;0.0024651;1.10921;
0.662253;0.798277;1.2054;
0.127314;0.116069;1.09688;
0.0519629;0.0312103;1.66493;
0.0244434;0.0114067;2.14289;
0.00491303;0.00483393;1.01636;
0.00268463;0.00256483;1.04671;
3.48253;3.87487;1.11266;
0.00266769;0.0025213;1.05806;
0.00368222;0.00431476;1.17178;
0.00494892;0.00479943;1.03115;
0.0194717;0.0200152;1.02791;
0.0561829;0.0431494;1.30206;
0.649889;0.94345;1.45171;
0.00321225;0.00332748;1.03587;
0.0230424;0.0119493;1.92835;
0.0485757;0.0349381;1.39034;
0.142094;0.118626;1.19783;
3.52928;4.21464;1.19419;
0.0226089;0.0116609;1.93886;
2.69959;3.56192;1.31943;
