filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_12_50_1000_2.in;0.00375263;940;50;900;45000
../../keptInstances/knapPI_12_20_1000_49.in;0.0179745;7971;20;8087;161740
../../keptInstances/knapPI_16_20_1000_42.in;0.00984811;8769;20;4618;92360
../../keptInstances/knapPI_12_20_1000_19.in;0.00243716;1260;20;1358;27160
../../keptInstances/knapPI_14_50_1000_10.in;0.0120309;5416;50;2520;126000
../../keptInstances/knapPI_15_20_1000_49.in;0.00965071;4419;20;4406;88120
../../keptInstances/knapPI_11_20_1000_46.in;0.016903;10900;20;8289;165780
../../keptInstances/knapPI_11_20_1000_18.in;0.0058837;4316;20;3329;66580
../../keptInstances/knapPI_12_20_1000_85.in;0.0303642;14570;20;13257;265140
../../keptInstances/knapPI_12_20_1000_69.in;0.0161526;8484;20;6937;138740
../../keptInstances/knapPI_12_50_1000_22.in;0.0285198;6378;50;6056;302800
../../keptInstances/knapPI_16_200_1000_2.in;0.0355587;7963;200;1998;399600
../../keptInstances/knapPI_14_100_1000_18.in;0.0946966;18433;100;8933;893300
../../keptInstances/knapPI_16_20_1000_5.in;0.00179812;3230;20;963;19260
../../keptInstances/knapPI_14_100_1000_12.in;0.0782028;13434;100;6244;624400
../../keptInstances/knapPI_15_50_1000_45.in;0.0588285;10131;50;10090;504500
../../keptInstances/knapPI_14_20_1000_35.in;0.0068092;5740;20;3185;63700
../../keptInstances/knapPI_14_20_1000_73.in;0.0167975;10113;20;6813;136260
../../keptInstances/knapPI_16_20_1000_44.in;0.0101792;9036;20;4652;93040
../../keptInstances/knapPI_13_20_1000_7.in;0.00177634;1331;20;1120;22400
../../keptInstances/knapPI_15_20_1000_18.in;0.00348327;1848;20;1845;36900
../../keptInstances/knapPI_11_20_1000_51.in;0.0173123;4772;20;7140;142800
../../keptInstances/knapPI_14_20_1000_86.in;0.0293905;14401;20;10315;206300
../../keptInstances/knapPI_15_20_1000_96.in;0.0246787;8772;20;8758;175160
../../keptInstances/knapPI_15_50_1000_73.in;0.133114;18324;50;18268;913400
../../keptInstances/knapPI_13_50_1000_47.in;0.0671097;15373;50;12215;610750
