vi;vi+1;tmin/ti
0.00789712;0.00782501;1.00922;
0.0293283;0.022284;1.31611;
0.0124636;0.0143566;1.15188;
0.00345412;0.00283281;1.21933;
0.0163159;0.0160168;1.01868;
0.0143275;0.0118656;1.20749;
0.0240443;0.0194075;1.23891;
0.00777786;0.00773293;1.00581;
0.0447205;0.0382812;1.16821;
0.0193868;0.020696;1.06753;
0.0389565;0.0352107;1.10638;
0.0469834;0.0413674;1.13576;
0.147789;0.138572;1.06652;
0.00196745;0.00237247;1.20586;
0.0742119;0.0692555;1.07157;
0.0763137;0.0887109;1.16245;
0.00964128;0.0114446;1.18704;
0.0310447;0.0266481;1.16499;
0.0202855;0.0170535;1.18952;
0.00351255;0.00300323;1.16959;
0.00705097;0.00640313;1.10118;
0.0302239;0.0257883;1.172;
0.0475713;0.0463415;1.02654;
0.0403458;0.0379289;1.06372;
0.163075;0.117438;1.3886;
0.101233;0.112013;1.10648;
0.112009;0.0720027;1.55562;
0.0174189;0.0178267;1.02341;
0.0222461;0.0233365;1.04902;
0.0720107;0.0696475;1.03393;
0.0711874;0.0645537;1.10276;
0.0102962;0.0101517;1.01423;
0.00414175;0.00370809;1.11695;
0.0303373;0.0276006;1.09915;
0.0511456;0.0439146;1.16466;
0.0401366;0.0404526;1.00787;
0.00909886;0.0124094;1.36384;
0.0208419;0.0211541;1.01498;
0.0796654;0.0702024;1.1348;
0.108455;0.114284;1.05374;
0.0197308;0.0192971;1.02248;
0.0749005;0.0588229;1.27332;
0.0235739;0.0212047;1.11173;
0.0256765;0.0225476;1.13876;
0.0199366;0.0201585;1.01113;
0.00450746;0.00432847;1.04135;
0.0183008;0.0180073;1.0163;
0.0570685;0.0529918;1.07693;
0.0270624;0.0260187;1.04012;
0.0260547;0.0240739;1.08228;
0.0119435;0.0111517;1.071;
0.0152059;0.0152193;1.00088;
0.0440657;0.0402694;1.09427;
0.107154;0.0999355;1.07224;
0.0421867;0.0386612;1.09119;
0.13389;0.135262;1.01025;
0.00475204;0.00521199;1.09679;
0.019843;0.0161517;1.22854;
0.00641791;0.00430688;1.49015;
0.0296453;0.0281805;1.05198;
0.00224276;0.00289857;1.29241;
0.0459445;0.0297313;1.54533;
0.110543;0.103172;1.07144;
0.0818032;0.0778896;1.05025;
0.160265;0.139666;1.14748;
0.0263747;0.0255659;1.03164;
0.00219515;0.00271055;1.23479;
0.0167867;0.0159117;1.05499;
0.0184491;0.0171204;1.07761;
0.0247547;0.0215911;1.14652;
0.0293678;0.0280197;1.04811;
0.0186992;0.0167087;1.11913;
0.112087;0.102348;1.09515;
0.0177323;0.017344;1.02239;
0.0285468;0.0247723;1.15237;
0.0185647;0.0183455;1.01195;
0.0846736;0.0757019;1.11851;
0.0375528;0.0363501;1.03309;
0.0310275;0.0306532;1.01221;
0.00411798;0.00437733;1.06298;
0.0209999;0.0212147;1.01023;
0.00764769;0.00830269;1.08565;
0.0127907;0.0114578;1.11634;
0.038317;0.0390753;1.01979;
